name,pred
P61500_recA,58.21924591064453
Q72G97_recG,84.79932403564453
P62662_rpsB,74.95600891113281
Q746P0_TT_P0013,84.79393768310547
Q746N8_cbiX,84.80193328857422
Q72H90_soj,84.80042266845703
Q72LP8_TT_C0010,84.79938507080078
Q72JA0_minD,81.0055923461914
Q72L65_hflX,84.79932403564453
Q72L52_TT_C0211,83.94768524169922
Q72JN6_TT_C0734,84.79932403564453
Q72I41_TT_C1291,84.79650115966797
Q72JQ4_TT_C0714,84.79932403564453
Q72JG1_rimO,82.7125015258789
Q72KY6_TT_C0279,69.2032241821289
Q72LK3_TT_C0056,84.79932403564453
Q72LH6_livF,83.95404815673828
Q72J57_TT_C0922,84.82320404052734
Q72GX5_pstB,49.20008087158203
Q72HC1_rlmN,48.587867736816406
Q72IH8_TT_C1154,83.95621490478516
Q72IZ8_TT_C0983,83.9292221069336
Q72I16_rplE,66.87886810302734
P61941_rpsL,52.74850082397461
P62663_rpsC,69.71404266357422
Q72KA4_TT_C0543,84.79932403564453
Q72LA0_TT_C0159,84.79932403564453
Q72J11_livF,57.90818786621094
P61537_ruvB,84.79932403564453
Q72L33_TT_C0230,84.79932403564453
Q72J12_livG,68.08604431152344
Q72GG8_TT_C1880,45.29714584350586
Q72IJ8_TT_C1134,84.79932403564453
Q72J51_ftsE,84.12906646728516
Q72J39_miaB,46.04937744140625
Q72KZ4_TT_C0271,77.59420013427734
Q72I11_rplP,48.67886352539063
Q72GI4_dcd,49.08126068115234
Q72I12_rpmC,49.03557586669922
Q72KT1_TT_C0411,84.79932403564453
Q72L15_clpP,48.21733093261719
Q72HM2_mreB,81.62895965576172
Q72IY3_TT_C0998,84.79932403564453
Q72HV0_plsX,82.7551040649414
Q72KC1_TT_C0526,84.79932403564453
Q72L74_plsY,84.79932403564453
Q745Z3_TT_P0162,41.86359024047852
Q72K96_TT_C0551,84.79932403564453
Q72I53_metK,79.03197479248047
Q72IN7_TT_C1095,84.79932403564453
Q72GJ7_phoU,69.85714721679688
Q72I54_TT_C1278,84.79778289794922
Q72JC6_TT_C0852,78.25965118408203
Q72K93_rnr,84.79930877685547
P62657_rpsO,49.39199066162109
Q72JC7_TT_C0851,52.7340202331543
Q72HG4_TT_C1523,84.79932403564453
P62668_rpsH,70.25884246826172
